datetime,ambient_temperature,object_temperature,latitude,longitude,altitude
2024-04-04 11:06:55.075108,10.29,15.63,-1,-1,-1
2024-04-04 11:06:55.169988,10.31,15.63,-1,-1,-1
2024-04-04 11:06:55.270045,10.29,15.73,-1,-1,-1
2024-04-04 11:06:55.370115,10.29,15.71,-1,-1,-1
2024-04-04 11:06:55.469950,10.29,15.71,-1,-1,-1
2024-04-04 11:06:55.569941,10.29,15.63,-1,-1,-1
2024-04-04 11:06:55.669967,10.29,15.69,-1,-1,-1
2024-04-04 11:06:55.769971,10.31,15.73,-1,-1,-1
2024-04-04 11:06:55.869988,10.29,15.73,-1,-1,-1
2024-04-04 11:06:55.970028,10.29,15.71,-1,-1,-1
2024-04-04 11:06:56.069937,10.29,15.63,-1,-1,-1
2024-04-04 11:06:56.169917,10.29,15.63,-1,-1,-1
2024-04-04 11:06:56.269829,10.29,15.51,-1,-1,-1
2024-04-04 11:06:56.369812,10.27,15.87,-1,-1,-1
2024-04-04 11:06:56.469819,10.25,15.87,-1,-1,-1
2024-04-04 11:06:56.569809,10.25,15.93,-1,-1,-1
2024-04-04 11:06:56.670007,10.27,15.65,-1,-1,-1
2024-04-04 11:06:56.769997,10.23,15.65,-1,-1,-1
2024-04-04 11:06:56.869983,10.23,15.49,-1,-1,-1
2024-04-04 11:06:56.970025,10.27,15.55,-1,-1,-1
2024-04-04 11:06:57.069816,10.27,15.55,-1,-1,-1
2024-04-04 11:06:57.169876,10.27,15.47,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.269891,10.23,15.45,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.369818,10.27,15.45,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.469799,10.27,15.63,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.570002,10.23,15.67,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.670934,10.23,15.67,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.770870,10.23,15.75,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.870921,10.27,15.79,40.3467612,-74.6117875,37.07
2024-04-04 11:06:57.969875,10.23,15.79,40.3467612,-74.6117875,37.07
2024-04-04 11:06:58.074874,10.27,15.61,40.3467612,-74.6117875,37.07
2024-04-04 11:06:58.170016,10.27,15.65,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.269940,10.23,15.65,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.369968,10.27,15.59,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.469942,10.27,15.65,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.569982,10.23,15.59,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.670095,10.23,15.59,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.769947,10.23,15.65,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.869781,10.21,15.57,40.3467615,-74.6117876,37.07
2024-04-04 11:06:58.969769,10.21,15.57,40.3467615,-74.6117876,37.07
2024-04-04 11:06:59.070188,10.21,15.55,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.170378,10.23,15.73,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.270244,10.23,15.73,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.370791,10.23,15.87,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.469941,10.21,15.91,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.569873,10.23,15.91,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.670262,10.23,15.91,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.770357,10.23,15.91,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.869955,10.19,15.91,40.3467617,-74.6117876,37.12
2024-04-04 11:06:59.970960,10.19,15.87,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.072179,10.17,15.95,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.170430,10.17,15.95,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.269971,10.17,16.07,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.370568,10.19,15.91,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.469927,10.19,15.91,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.570244,10.19,15.87,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.670166,10.17,15.87,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.769739,10.19,15.87,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.870019,10.17,15.95,40.3467618,-74.611788,37.13
2024-04-04 11:07:00.970006,10.17,15.97,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.070040,10.19,15.97,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.170039,10.19,15.97,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.269793,10.19,15.79,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.369979,10.17,15.93,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.469933,10.13,15.93,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.569914,10.13,15.75,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.669921,10.17,15.75,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.769925,10.17,15.75,40.346762,-74.6117882,37.14
2024-04-04 11:07:01.869812,10.17,15.85,40.3467623,-74.6117883,37.11
2024-04-04 11:07:01.970668,10.17,15.95,40.3467623,-74.6117883,37.11
2024-04-04 11:07:02.070598,10.17,15.95,40.3467623,-74.6117883,37.11
