datetime,ambient_temperature,object_temperature,latitude,longitude,altitude
2024-04-04 10:56:03.252738,11.65,24.57,-1,-1,-1
2024-04-04 10:56:03.346260,11.67,24.47,-1,-1,-1
2024-04-04 10:56:03.446539,11.69,24.47,-1,-1,-1
2024-04-04 10:56:03.546290,11.69,24.41,-1,-1,-1
2024-04-04 10:56:03.646359,11.67,24.43,-1,-1,-1
2024-04-04 10:56:03.746444,11.65,24.43,-1,-1,-1
2024-04-04 10:56:03.846462,11.67,24.51,-1,-1,-1
2024-04-04 10:56:03.946464,11.67,24.29,-1,-1,-1
2024-04-04 10:56:04.046465,11.63,24.05,-1,-1,-1
2024-04-04 10:56:04.146282,11.67,24.05,-1,-1,-1
2024-04-04 10:56:04.246388,11.67,23.67,-1,-1,-1
2024-04-04 10:56:04.346481,11.63,23.55,-1,-1,-1
2024-04-04 10:56:04.446496,11.63,23.55,-1,-1,-1
2024-04-04 10:56:04.546498,11.63,23.47,-1,-1,-1
2024-04-04 10:56:04.646500,11.63,24.23,-1,-1,-1
2024-04-04 10:56:04.746487,11.61,24.23,-1,-1,-1
2024-04-04 10:56:04.846498,11.61,22.61,-1,-1,-1
2024-04-04 10:56:04.946499,11.59,24.03,-1,-1,-1
2024-04-04 10:56:05.046489,11.57,24.03,-1,-1,-1
2024-04-04 10:56:05.146494,11.57,24.29,-1,-1,-1
2024-04-04 10:56:05.246476,11.57,24.43,-1,-1,-1
2024-04-04 10:56:05.346496,11.57,24.43,-1,-1,-1
2024-04-04 10:56:05.446496,11.57,24.21,-1,-1,-1
2024-04-04 10:56:05.546339,11.57,23.89,-1,-1,-1
2024-04-04 10:56:05.646387,11.57,23.89,-1,-1,-1
2024-04-04 10:56:05.746368,11.55,23.83,-1,-1,-1
2024-04-04 10:56:05.847052,11.55,23.81,-1,-1,-1
2024-04-04 10:56:05.946638,11.53,23.51,-1,-1,-1
2024-04-04 10:56:06.046700,11.57,23.51,-1,-1,-1
2024-04-04 10:56:06.147240,11.57,23.47,-1,-1,-1
2024-04-04 10:56:06.248083,11.57,23.41,-1,-1,-1
2024-04-04 10:56:06.347184,11.55,23.41,-1,-1,-1
2024-04-04 10:56:06.446813,11.55,23.13,-1,-1,-1
2024-04-04 10:56:06.546755,11.55,22.63,-1,-1,-1
