datetime,ambient_temperature,object_temperature,latitude,longitude,altitude
2024-04-04 11:26:58.347344,9.73,17.17,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.443089,9.73,17.31,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.543006,9.73,17.31,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.643222,9.73,17.23,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.743166,9.73,16.85,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.843103,9.73,17.13,40.3467228,-74.6118475,35.41
2024-04-04 11:26:58.943158,9.71,17.13,40.3467228,-74.6118479,35.34
2024-04-04 11:26:59.043163,9.71,17.27,40.3467228,-74.6118479,35.34
2024-04-04 11:26:59.143161,9.73,17.23,40.3467228,-74.6118479,35.34
2024-04-04 11:26:59.243179,9.73,17.23,40.3467228,-74.6118479,35.34
2024-04-04 11:26:59.343104,9.73,17.31,40.3467228,-74.6118479,35.34
2024-04-04 11:26:59.443249,9.71,17.31,40.3467718,-74.6117923,34.86
2024-04-04 11:26:59.543137,9.69,17.31,40.3467718,-74.6117923,34.86
2024-04-04 11:26:59.643153,9.69,17.09,40.3467718,-74.6117923,34.86
2024-04-04 11:26:59.743140,9.73,17.37,40.3467718,-74.6117923,34.86
2024-04-04 11:26:59.843262,9.73,17.37,40.3467718,-74.6117923,34.86
2024-04-04 11:26:59.943237,9.73,17.23,40.3467718,-74.6117923,34.86
2024-04-04 11:27:00.043140,9.75,17.35,40.3467718,-74.6117923,34.86
2024-04-04 11:27:00.143161,9.73,17.35,40.3467718,-74.6117923,34.86
2024-04-04 11:27:00.243260,9.73,17.41,40.3467718,-74.6117923,34.86
2024-04-04 11:27:00.343156,9.75,17.17,40.3467718,-74.6117923,34.86
2024-04-04 11:27:00.443262,9.73,17.17,40.3467716,-74.611792,34.86
2024-04-04 11:27:00.543003,9.73,17.03,40.3467716,-74.611792,34.86
2024-04-04 11:27:00.643132,9.73,16.99,40.3467716,-74.611792,34.86
2024-04-04 11:27:00.743078,9.75,16.99,40.3467716,-74.611792,34.86
2024-04-04 11:27:00.845388,9.75,17.19,40.3467716,-74.611792,34.86
2024-04-04 11:27:00.944471,9.75,17.13,40.3467716,-74.611792,34.86
2024-04-04 11:27:01.045748,9.75,17.23,40.3467716,-74.611792,34.86
2024-04-04 11:27:01.144313,9.73,17.23,40.3467716,-74.611792,34.86
2024-04-04 11:27:01.243407,9.73,17.03,40.3467716,-74.611792,34.86
2024-04-04 11:27:01.344254,9.73,17.35,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.443658,9.75,17.35,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.543075,9.75,17.09,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.643290,9.73,17.09,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.743091,9.73,17.09,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.843346,9.73,17.01,40.3467716,-74.6117916,34.9
2024-04-04 11:27:01.943299,9.73,17.27,40.3467716,-74.6117916,34.9
2024-04-04 11:27:02.043732,9.73,17.27,40.3467716,-74.6117916,34.9
2024-04-04 11:27:02.143652,9.73,17.11,40.3467716,-74.6117916,34.9
2024-04-04 11:27:02.243546,9.77,17.03,40.3467716,-74.6117916,34.9
2024-04-04 11:27:02.343322,9.75,17.03,40.3467716,-74.6117916,34.9
2024-04-04 11:27:02.442966,9.75,16.83,40.3467717,-74.6117913,34.9
2024-04-04 11:27:02.542845,9.75,16.79,40.3467717,-74.6117913,34.9
2024-04-04 11:27:02.643016,9.73,16.79,40.3467717,-74.6117913,34.9
2024-04-04 11:27:02.743325,9.73,17.03,40.3467717,-74.6117913,34.9
2024-04-04 11:27:02.844079,9.75,17.03,40.3467717,-74.6117913,34.9
2024-04-04 11:27:02.946445,9.73,17.03,40.3467717,-74.6117913,34.9
2024-04-04 11:27:03.044103,9.73,16.99,40.3467717,-74.6117913,34.9
2024-04-04 11:27:03.143853,9.73,17.07,40.3467717,-74.6117913,34.9
2024-04-04 11:27:03.243343,9.75,17.07,40.3467717,-74.6117913,34.9
2024-04-04 11:27:03.343457,9.73,16.83,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.443525,9.73,16.67,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.542983,9.75,16.67,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.643588,9.73,16.75,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.743207,9.73,17.01,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.843364,9.75,16.83,40.3467718,-74.611791,34.87
2024-04-04 11:27:03.943364,9.73,16.83,40.3467718,-74.611791,34.87
2024-04-04 11:27:04.043128,9.73,16.95,40.3467718,-74.611791,34.87
2024-04-04 11:27:04.143214,9.75,17.01,40.3467718,-74.611791,34.87
2024-04-04 11:27:04.243171,9.75,17.01,40.3467718,-74.611791,34.87
2024-04-04 11:27:04.343008,9.75,17.01,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.443110,9.73,17.07,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.543162,9.73,17.07,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.643156,9.73,17.07,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.743171,9.73,17.09,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.843537,9.73,17.09,40.3467721,-74.6117905,34.83
2024-04-04 11:27:04.945233,9.73,17.19,40.3467721,-74.6117905,34.83
2024-04-04 11:27:05.044408,9.73,17.11,40.3467721,-74.6117905,34.83
2024-04-04 11:27:05.144820,9.73,17.11,40.3467721,-74.6117905,34.83
2024-04-04 11:27:05.244433,9.73,17.09,40.3467721,-74.6117905,34.83
2024-04-04 11:27:05.344332,9.73,17.01,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.443751,9.73,17.01,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.543135,9.73,17.27,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.643062,9.73,17.11,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.743425,9.73,17.11,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.843371,9.73,17.19,40.3467725,-74.6117901,34.8
2024-04-04 11:27:05.943116,9.73,17.31,40.3467725,-74.6117901,34.8
2024-04-04 11:27:06.043154,9.73,16.87,40.3467725,-74.6117901,34.8
